Unnamed: 0,Age,Sex,Job,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,Risk
228,22,male,2,own,little,,1478,9,radio/TV,bad
45,35,female,3,own,little,,1393,11,car,good
373,63,male,3,free,,,13756,60,car,good
813,54,male,2,own,little,little,3051,48,domestic appliances,bad
448,55,female,3,own,,rich,1424,12,furniture/equipment,good
826,33,female,2,rent,little,little,3966,18,car,bad
626,41,male,2,own,little,rich,2116,6,furniture/equipment,good
915,32,female,3,own,little,moderate,18424,48,vacation/others,bad
146,39,female,2,own,little,little,860,6,car,good
343,33,male,3,own,little,moderate,4439,18,business,good
991,34,male,1,own,moderate,,1569,15,radio/TV,good
728,59,female,2,rent,little,moderate,6416,48,business,bad
441,30,female,2,own,little,little,1620,12,furniture/equipment,good
319,27,female,1,own,little,little,3643,15,furniture/equipment,good
178,31,male,3,rent,little,,1963,12,radio/TV,good
421,30,male,2,own,,moderate,2028,12,car,good
603,28,female,3,own,little,,3349,36,furniture/equipment,bad
74,40,male,3,own,,little,1977,36,education,bad
848,59,male,2,own,little,little,1364,9,radio/TV,good
3,45,male,2,free,little,little,7882,42,furniture/equipment,good
196,28,female,2,own,little,,1382,6,radio/TV,good
995,31,female,1,own,little,,1736,12,furniture/equipment,good
345,43,female,1,own,little,,1459,15,radio/TV,good
59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad
215,39,female,1,own,,moderate,932,6,education,good
22,48,male,1,rent,little,little,2241,10,car,good
26,39,male,1,own,little,,426,6,radio/TV,good
253,35,male,2,own,moderate,,4151,24,furniture/equipment,good
157,45,male,1,own,little,little,339,12,education,good
816,62,male,2,own,quite rich,,1338,6,domestic appliances,good
655,22,male,2,free,little,little,3973,14,car,good
847,28,male,2,own,little,,1249,24,car,good
729,36,male,2,own,rich,rich,1275,24,business,good
415,35,male,2,own,little,,5842,36,car,good
733,28,female,2,rent,rich,,2603,24,car,good
749,33,male,2,own,little,,3029,15,car,good
955,57,female,3,rent,rich,little,1231,24,radio/TV,good
477,25,male,2,own,little,rich,5152,24,radio/TV,good
919,39,male,3,rent,little,little,3345,24,furniture/equipment,bad
983,26,male,2,own,little,little,8229,36,car,bad
734,37,female,2,own,little,,3380,4,car,good
819,26,male,2,own,little,little,1345,18,radio/TV,bad
404,43,male,2,own,,moderate,2899,18,car,good
860,27,male,2,own,rich,,5804,24,car,good
268,45,male,3,own,little,little,8978,14,car,bad
689,31,male,2,own,rich,little,3651,12,car,good
979,25,male,2,rent,moderate,moderate,1264,15,car,bad
161,30,female,2,own,little,,1055,18,car,good
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,bad
502,49,male,2,own,moderate,rich,1126,9,radio/TV,good
271,37,female,2,rent,quite rich,,1402,12,furniture/equipment,good
96,61,female,2,own,,,2012,12,education,good
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
143,22,male,2,own,little,little,2462,18,furniture/equipment,bad
461,36,male,2,own,little,little,1721,15,car,good
270,32,male,2,own,,,2662,18,car,good
841,28,male,1,own,little,,2993,21,car,good
1,22,female,2,own,little,moderate,5951,48,radio/TV,bad
769,63,male,1,own,little,,1655,12,radio/TV,good
350,23,female,2,rent,little,,1236,9,domestic appliances,good
704,32,female,2,own,little,moderate,2528,27,business,good
406,43,male,2,own,,,2197,24,car,good
547,32,male,2,own,little,,1552,24,radio/TV,good
434,25,male,2,own,little,little,2136,9,furniture/equipment,good
50,29,male,1,own,,moderate,2333,24,furniture/equipment,good
835,48,male,2,own,little,little,1082,12,car,bad
396,55,female,3,free,little,little,2578,12,furniture/equipment,good
392,39,male,3,free,little,little,3249,36,car,good
787,38,male,2,own,,,2751,48,car,good
773,52,male,2,own,moderate,,2223,24,radio/TV,good
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good
964,22,male,1,own,little,moderate,454,6,repairs,good
234,42,male,1,own,little,,1544,4,radio/TV,good
390,30,male,3,own,little,,1820,18,car,good
781,60,male,2,own,rich,,1940,24,car,good
555,22,male,2,own,little,moderate,1331,12,radio/TV,bad
458,27,female,2,own,little,little,343,6,domestic appliances,good
763,30,male,3,free,,,12680,21,car,bad
939,46,male,3,own,,,6842,24,car,good
545,43,male,2,free,little,little,1333,24,car,bad
435,25,male,2,own,,moderate,1484,12,radio/TV,bad
127,30,male,2,own,little,moderate,639,12,repairs,bad
66,29,female,2,own,little,,2171,12,radio/TV,good
408,26,male,3,own,quite rich,,3235,24,radio/TV,good
251,46,female,1,own,little,rich,2251,12,furniture/equipment,good
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
94,54,male,2,own,rich,moderate,1318,12,car,good
399,43,female,1,own,rich,,1516,24,radio/TV,good
493,38,male,2,own,,moderate,368,6,radio/TV,good
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
227,53,male,3,free,little,little,7865,12,furniture/equipment,bad
436,23,male,1,rent,quite rich,,660,6,repairs,good
292,44,female,3,free,little,little,6419,24,car,good
512,26,male,2,rent,little,rich,2687,15,business,good
284,37,male,2,own,moderate,moderate,3878,24,car,good
91,54,male,2,own,little,little,1409,12,car,good
114,35,male,2,own,quite rich,little,1680,12,radio/TV,good
948,43,male,1,own,little,,1533,18,furniture/equipment,bad
229,22,male,2,free,little,little,3149,24,furniture/equipment,good
906,24,male,1,own,,little,3763,21,car,good
322,34,male,3,free,little,little,2910,24,car,good
326,49,male,2,rent,,,5801,12,furniture/equipment,good
569,31,female,2,own,little,little,6758,48,radio/TV,bad
727,25,female,2,rent,little,little,1882,18,radio/TV,bad
567,34,male,2,own,rich,,2578,24,radio/TV,good
673,24,male,2,own,quite rich,,2080,6,car,good
748,26,male,2,own,,,5248,21,car,good
433,33,male,2,own,little,,2058,24,repairs,good
352,38,male,3,own,,,3229,18,car,good
893,34,male,2,own,little,moderate,5800,36,car,good
155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad
73,41,female,1,own,little,moderate,5954,42,business,good
925,46,male,2,own,little,little,697,12,car,bad
261,55,female,2,own,little,little,1603,24,radio/TV,good
658,28,female,2,own,little,moderate,4221,30,business,good
774,66,male,0,free,quite rich,rich,1480,12,car,good
702,47,female,2,free,moderate,rich,1377,24,radio/TV,good
140,27,male,0,own,rich,rich,709,6,car,good
726,47,male,1,own,quite rich,,1316,15,radio/TV,good
309,22,male,1,rent,little,moderate,276,9,car,good
330,75,male,3,free,little,little,6615,24,car,good
691,25,female,1,own,moderate,moderate,2631,15,repairs,good
183,50,male,2,own,rich,,3777,24,furniture/equipment,good
51,30,male,3,own,little,moderate,5965,27,car,good
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good
778,38,male,3,own,rich,,5711,36,car,good
130,24,female,2,own,,moderate,8487,48,car,good
801,48,female,1,rent,little,moderate,1795,18,radio/TV,good
442,29,male,2,own,little,moderate,2629,20,vacation/others,good
670,27,male,1,own,moderate,,4139,24,business,good
69,25,female,2,own,,,2394,36,radio/TV,good
940,45,male,3,own,,,3527,12,car,good
14,28,female,2,rent,little,little,1403,15,car,good
866,27,female,2,own,little,little,2389,18,radio/TV,good
422,47,male,1,own,little,moderate,958,12,car,good
346,23,male,2,own,little,moderate,882,13,radio/TV,good
414,35,female,2,own,,little,1381,24,car,bad
606,74,male,3,own,little,,4526,24,business,good
202,26,male,2,own,little,,5117,27,business,good
584,52,female,3,free,,,2133,12,car,good
176,42,male,2,own,little,little,2577,12,furniture/equipment,good
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad
430,74,male,1,own,little,,3448,5,business,good
892,38,male,1,own,little,little,2171,12,car,good
783,23,female,1,own,moderate,moderate,836,12,car,bad
123,63,male,2,free,little,rich,781,10,car,good
148,28,male,2,own,little,little,5371,36,furniture/equipment,good
124,27,female,2,rent,,moderate,1924,18,furniture/equipment,bad
64,26,female,2,own,little,,3181,24,radio/TV,good
58,23,female,3,own,little,rich,1961,18,car,good
489,26,male,2,rent,little,,3518,6,car,good
133,47,male,2,free,little,,1984,18,furniture/equipment,good
931,22,female,2,own,little,moderate,1670,9,radio/TV,bad
483,30,female,2,own,rich,,960,15,furniture/equipment,good
752,23,female,1,rent,moderate,moderate,841,12,business,good
34,33,female,3,own,little,rich,1474,12,furniture/equipment,good
48,39,male,1,own,little,,7228,11,car,good
431,29,male,3,own,little,moderate,11328,24,vacation/others,bad
849,57,male,1,own,little,little,709,12,radio/TV,bad
